crop,herbicide or insecticide,stage,chemical1,chemical2,mixing ratio
paddy,herbicide,pre,Pretilachlor,nochem,303gm/acre
paddy,herbicide,pre,Chlorimuron Methly,nochem,1.6gm/acre
paddy,herbicide,pre,Metsulfuron Methly,nochem,1.6gm/acre
paddy,herbicide,pre,Pyrazosulfuron Ethyl,nochem,8gm/acre
paddy,herbicide,pre,Pendimethalin,nochem,1000-1500gm/acre
paddy,insecticide,post,Bifenthrin,nochem,20-25ml/acre
paddy,insecticide,post,Imidacloprid,nochem,70-100ml/acre
paddy,insecticide,post,Cartap Hydrochloride,nochem,1000-1500gm/acre
paddy,insecticide,post,Thiamethoxam,nochem,20-25gm/acre
paddy,insecticide,post,Flonicamid,nochem,50-60gm/acre
paddy,insecticide,post,Fipronil,nochem,500-600ml/acre
paddy,insecticide,post,Chlorpyrifos,Cypermethrin,500-600ml/acre + 50-60ml/acre
paddy,insecticide,post,Cypermethrin,Chlorpyrifos,50-60ml/acre + 500-600ml/acre
paddy,insecticide,post,Imidacloprid,Thiamethoxam,40-50ml/acre + 40-50ml/acre
paddy,insecticide,post,Thiamethoxam,Imidacloprid,40-50ml/acre + 40-50ml/acre
paddy,insecticide,post,Fipronil,Imidacloprid,45ml/acre + 50ml/acre
paddy,insecticide,post,Imidacloprid,Fipronil,50ml/acre + 45ml/acre
paddy,insecticide,post,Cartap Hydrochloride,Bifenthrin,200-250gm/acre + 200-250gm/acre
paddy,insecticide,post,Bifenthrin,Cartap Hydrochloride,200-250gm/acre + 200-250gm/acre
paddy,insecticide,post,Triazophos,Cypermethrin,500ml/acre + 500-600ml/acre
paddy,insecticide,post,Cypermethrin,Triazophos,500-600ml/acre + 500ml/acre
paddy,herbicide and insecticide,pre,Chlorpyrifos,Pretilachlor,500-600ml/acre + 500-600ml/acre
paddy,herbicide and insecticide,pre,Pretilachlor,Chlorpyrifos,500-600ml/acre + 500-600ml/acre
paddy,herbicide and insecticide,pre,Imidacloprid,Butachlor,40-50ml/acre + 1250-1500ml/acre
paddy,herbicide and insecticide,pre,Butachlor,Imidacloprid,1250-1500ml/acre + 40-50ml/acre
paddy,herbicide and insecticide,pre,Carbofuran,(2/4-D),1000gm/acre + 500-600ml/acre
paddy,herbicide and insecticide,pre,(2/4-D),Carbofuran,500-600ml/acre + 1000gm/acre
paddy,herbicide,post,Pretilachlor,Safener,600-800ml/acre + 600-800ml/acre
paddy,herbicide,post,Safener,Pretilachlor,600-800ml/acre + 600-800ml/acre
paddy,herbicide,post,Butachlor,(2/4-D),1000-1500gm/acre + 500-600ml/acre
paddy,herbicide,post,(2/4-D),Butachlor,500-600ml/acre + 1000-1500gm/acre
paddy,herbicide,post,Anilofos,(2/4-D),500-600ml/acre + 500-600ml/acre
paddy,herbicide,post,(2/4-D),Anilofos,500-600ml/acre + 500-600ml/acre
paddy,herbicide,post,Thiobencarb,(2/4-D),1000-1500gm/acre + 500-600ml/acre
paddy,herbicide,post,(2/4-D),Thiobencarb,500-600ml/acre + 1000-1500gm/acre  
sugarcane,herbicide,post,Metribuzin,nochem,350-500gm/acre
sugarcane,herbicide,post,2/4-D,nochem,1500-2000gm/acre
sugarcane,herbicide,post,Atrazine,nochem,1000-1500gm/acre
sugarcane,herbicide,pre,Glyphosate,nochem,1000-1500ml/acre
sugarcane,herbicide,pre,Pendimethalin,nochem,1000-1500gm/acre
sugarcane,herbicide,pre,Imazethapyr,nochem,70-100gm/acre
sugarcane,herbicide,post,Atrazine,2/4-D,946-1892ml/acre + 568-1136ml/acre
sugarcane,herbicide,post,2/4-D,Atrazine,568-1136ml/acre + 946-1892ml/acre
sugarcane,herbicide,pre,Glyphosate,2/4-D,946-1892ml/acre + 1136ml/acre
sugarcane,herbicide,pre,2/4-D,Glyphosate,1136ml/acre+946-1892ml/acre
sugarcane,herbicide,post,Metribuzin,Atrazine,226.769-453.592ml/acre + 453.592-907.185grams/acre
sugarcane,herbicide,post,Atrazine,Metribuzin,453.592-907.185grams/acre + 226.769-453.592ml/acre
sugarcane,herbicide,post,Pendimethalin,Imazethapyr,1419.529-2365.88ml/acre + 113.398-226.796grams/acre
sugarcane,herbicide,post,Imazethapyr,Pendimethalin,113.398-226.796grams/acre + 1419.529-2365.88ml/acre
sugarcane,insecticide,pre,Bifenthrin,nochem,10-20ml/acre
sugarcane,insecticide,pre,Fipronil,nochem,50-100ml/acre
sugarcane,insecticide,pre,Imidacloprid,nochem,25-50ml/acre
sugarcane,insecticide,post,Chlorantraniliprole,nochem,30-50grams/acre
sugarcane,insecticide,post,Imidacloprid,Chlorpyrifos,200-250ml/acre + 1000-1500ml/acre
